,Open,High,Low,Close,Adj Close,Volume
2024-04-03,98.8644388057996,99.72524644123307,98.46958929176614,99.24026567283457,99.30148565838255,550772
2024-04-04,99.3235408859813,99.63442705767977,98.46179245291118,97.58521596979789,97.58605792517712,147708
2024-04-05,98.93994269156372,99.0373428578325,97.65346005413129,98.90721359311206,98.95933811092215,787309
2024-04-08,99.97099135966926,100.37003770530939,99.23012024246255,98.50235863387896,98.54705722257897,834373
2024-04-09,99.79890868500775,102.57150144143439,98.64642124760665,99.36981754184899,99.18799657105852,622671
2024-04-10,101.20736084903089,103.16327315728158,99.9373142790059,100.64111027579926,100.64483457273886,686301
2024-04-11,99.21860692607582,99.93421304541383,98.96914834591487,99.18925573980245,99.26542340810626,923399
2024-04-12,99.4293399430112,100.59886994629046,99.37984496136112,100.81589770263069,100.8753669662947,392786
2024-04-15,99.60244853210394,99.99340190729154,98.76781449668216,99.75884846862087,99.72255033273302,239758
2024-04-16,97.98914929169433,98.88459590113044,97.3458348266314,99.05042256193204,98.97062491593317,303724
2024-04-17,97.46722957014174,97.9281083980512,95.89660616150829,97.37079504974187,97.26190412855706,804185
2024-04-18,97.27268567513079,99.53113639467095,97.06578199896681,98.06474895914674,98.05189718040484,996997
2024-04-19,97.56535684863172,99.62984970999105,96.67643835703842,97.80461774229119,97.915438186783,300688
2024-04-22,96.2144704727091,96.50200808556832,94.51636465327684,96.77717040267427,96.58828032455256,703268
2024-04-23,96.60481826858103,98.31246662700583,96.21753779318597,97.80701332968141,97.74247129047562,721161
2024-04-24,97.43614715360405,98.45000620280489,95.18058292420187,97.30357473204097,97.19266787863958,528580
2024-04-25,95.11001109263105,97.75808972298907,94.08750424899546,96.00955385825432,96.0849172796663,489456
2024-04-26,98.02258058805246,98.30892427694474,97.67133431069868,98.1412628682031,98.08686222143139,241778
2024-04-29,98.80482521076607,100.2146978730449,97.14811010844411,98.27804449208197,98.23179114337418,739141
2024-04-30,100.23244194001488,101.82988697587605,99.24693120233073,101.5412976510157,101.5192683101595,960894
2024-05-01,100.63079131354725,101.84193660322995,99.13287376645317,100.88127480602054,100.9262066449608,182293
2024-05-02,99.16417465421056,100.22377431694099,97.516039722003,99.51110417207609,99.47205710960525,910275
2024-05-03,101.35991517704072,102.66176140660572,100.42418012385002,100.69866170721593,100.39191917822886,974416
2024-05-06,99.53880247750244,100.81331849200575,98.97151219964978,99.67026329070967,99.72441532997324,679121
2024-05-07,101.5412014374212,102.02222855588198,101.18500090223144,101.23270432045204,101.27714982637002,643929
2024-05-08,101.59630957170971,103.9198676785074,101.24287782295251,102.16609314993364,102.14366350078292,350121
2024-05-09,102.00854326843657,103.65260584002873,100.39206907978554,103.24160100347028,103.12968332720573,909010
2024-05-10,103.21059474474745,103.34654444542578,102.65711905173372,104.29706844076337,104.3337580750432,404304
2024-05-13,103.5697564170624,104.79242094527622,102.80826420525077,103.61856724953331,103.6578630921684,157329
2024-05-14,104.05192487900116,104.14964984671602,102.808105679102,103.33675311999184,103.2881814480339,227500
2024-05-15,105.86365217428204,106.44660585403533,104.31079823064259,105.19478311433018,105.17198409428893,718182
2024-05-16,106.66043016464414,107.05987919390701,104.11223347442962,105.0697912523601,104.97205990280784,148764
2024-05-17,106.64906552816669,107.0191214160142,105.12824961398725,105.94187417547806,105.92295411235503,211715
